OfficeServiceID,OfficeID,ServiceID,Office,Suburb,Phone,Email,Lat,Lon
1,1,1,Elton Mckenzie,Hurstville,(+61) 02 35563485,hurstville@myoffice.gov.au,-33.975869,151.088939
2,1,2,Elton Mckenzie,Hurstville,(+61) 02 35563485,hurstville@myoffice.gov.au,-33.975869,151.088939
3,2,1,Kennith Graves,Sydney,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114
4,2,2,Kennith Graves,Sydney,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114
5,2,3,Kennith Graves,Sydney,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114
6,2,4,Kennith Graves,Sydney,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114
7,2,5,Kennith Graves,Sydney,(+61) 02 34533466,sydney@myoffice.gov.au,-33.867139,151.207114
8,3,1,Myrna Duke,Auburn,(+61) 02 36372375,auburn@myoffice.gov.au,-33.849322,151.033421
9,3,2,Myrna Duke,Auburn,(+61) 02 36372375,auburn@myoffice.gov.au,-33.849322,151.033421
10,4,1,Parker Lang,Riverwood,(+61) 02 45747345,riverwood@myoffice.gov.au,-33.949859,151.052469
11,4,4,Parker Lang,Riverwood,(+61) 02 45747345,riverwood@myoffice.gov.au,-33.949859,151.052469
12,4,5,Parker Lang,Riverwood,(+61) 02 45747345,riverwood@myoffice.gov.au,-33.949859,151.052469
13,5,2,Sara Mcconnell,Fingal Bay,(+61) 02 37532374,fingalbay@myoffice.gov.au,-32.748113,152.170141
14,6,3,Anton Orozco,Harrington,(+61) 02 36733495,harrington@myoffice.gov.au,-31.872153,152.689811
15,7,1,Lillian Leach,Back Forest,(+61) 02 34953946,backforest@myoffice.gov.au,-34.853655,150.678507
16,7,2,Lillian Leach,Back Forest,(+61) 02 34953946,backforest@myoffice.gov.au,-34.853655,150.678507
17,7,5,Lillian Leach,Back Forest,(+61) 02 34953946,backforest@myoffice.gov.au,-34.853655,150.678507
18,8,1,Kari Avery,Jindabyne,(+61) 02 82452731,jindabyne @myoffice.gov.au,-36.415074,148.618871
19,8,2,Kari Avery,Jindabyne,(+61) 02 82452731,jindabyne @myoffice.gov.au,-36.415074,148.618871
20,8,3,Kari Avery,Jindabyne,(+61) 02 82452731,jindabyne @myoffice.gov.au,-36.415074,148.618871
